NAME,MB,MAE,RMSE,R2,STD_X,STD_Y,MEAN_X,MEAN_Y,R
North,-2149297717423.0,170717090116724.8,253186635210727.78,0.6787131993406466,446677765778053.94,417811182886350.94,1170640201517426.5,1168490903800003.5,0.830502593965127
Central,-36750016924460.5,203587624021311.62,312961335798211.9,0.7469678247137423,622161040482669.1,579013439116959.4,1454026783325329.0,1417276766400868.5,0.8685145699209836
South,488231836905501.0,648870858132221.0,1666747572121177.5,-0.8719764843826481,1218202921652418.2,2348825777031915.0,1752831341073636.2,2241063177979137.2,0.7795846929084078
Central Valley,-8489632724926.5,181868307309560.78,253911909416953.03,0.6153597584486447,409407422431854.7,451828951572901.8,2003386001141972.5,1994896368417046.0,0.830795550497692
